1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5
351,243,209,187,146,183,352,1767,8718,30380,55766,64196,42892,17258,4155,583,70,18,20,13,18
1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5
252,182,151,130,106,134,279,1709,9334,30865,58255,60892,38133,12855,2340,271,31,13,14,10,14
1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5
150,113,90,78,63,75,229,1674,10410,35415,57940,60203,32356,8913,1376,125,14,5,5,5,5
1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5
50,33,30,27,20,30,168,1782,11094,37463,63913,55863,24424,5654,652,43,5,0,0,0,0
1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5
45,32,27,24,19,28,165,1740,11767,36839,62511,56889,24874,5451,633,39,0,0,0,0,0
1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5
152,106,85,78,59,79,230,1688,10109,34809,62832,60980,30058,8911,1316,104,11,5,5,5,5
1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5
237,167,144,130,104,133,286,1805,9976,32637,56649,64208,38035,12397,2486,256,30,11,13,10,13
